date,load
12/15/2009,6670.84
12/15/2009,6941.33
12/15/2009,7159.85
12/15/2009,7732.52
12/15/2009,8369.02
12/15/2009,8788
12/15/2009,9244.29
12/15/2009,9527.99
12/15/2009,9710.76
12/15/2009,10008.34
12/15/2009,10182.83
12/15/2009,10289.54
12/15/2009,10360.28
12/15/2009,10367.71
12/15/2009,10438.43
12/15/2009,10449.2
12/15/2009,10413.01
12/15/2009,10509.12
12/15/2009,10528.5
12/15/2009,10550.1
12/15/2009,10535.66
12/15/2009,10534.48
12/15/2009,10538.06
12/15/2009,10651.68
12/15/2009,10625.03
12/15/2009,10609.33
12/15/2009,10492.43
12/15/2009,10199.92
12/15/2009,10042.5
12/15/2009,9803.25
12/15/2009,9742.75
12/15/2009,9681.83
12/15/2009,9669.39
12/15/2009,9453.31
12/15/2009,9173.61
12/15/2009,9158.02
12/15/2009,8943.78
12/15/2009,8800.33
12/15/2009,8575.91
12/15/2009,8293.93
12/16/2009,8103.26
12/16/2009,7844.85
12/16/2009,7568.35
12/16/2009,7295.38
12/16/2009,6999.42
12/16/2009,6779.98
12/16/2009,6709.96
12/16/2009,6692.3
12/16/2009,6701.93
12/16/2009,6624.27
12/16/2009,6921.82
12/16/2009,7766.67
12/16/2009,8379.83
12/16/2009,8826.02
12/16/2009,9341.36
12/16/2009,9704.19
12/16/2009,10022.66
12/16/2009,10395.47
12/16/2009,10649.88
12/16/2009,10865.55
12/16/2009,11003.43
12/16/2009,11137.04
12/16/2009,11301.59
12/16/2009,11383.97
12/16/2009,11498.14
12/16/2009,11717.19
12/16/2009,11870.82
12/16/2009,11996.9
12/16/2009,12118.62
12/16/2009,12161.5
12/16/2009,12340.52
12/16/2009,12385.83
12/16/2009,12455.75
12/16/2009,12313.28
12/16/2009,12232.04
12/16/2009,11725.93
12/16/2009,11523.21
12/16/2009,11164.22
12/16/2009,10947.19
12/16/2009,10883.72
12/16/2009,10845.86
12/16/2009,10581.42
12/16/2009,10110.83
12/16/2009,9974.25
12/16/2009,9603.11
12/16/2009,9361.71
12/16/2009,9074.85
12/16/2009,8692.4
12/17/2009,8425.22
12/17/2009,8167.47
12/17/2009,7867.21
12/17/2009,7526.86
12/17/2009,7226.71
12/17/2009,7095.34
12/17/2009,6977.07
12/17/2009,6935.46
12/17/2009,6978.43
12/17/2009,7290.27
12/17/2009,7423.81
12/17/2009,7994.86
12/17/2009,8583.67
12/17/2009,9087.39
12/17/2009,9708.02
12/17/2009,10205.12
12/17/2009,10705.84
12/17/2009,11168.66
12/17/2009,11528.17
12/17/2009,11957.4
12/17/2009,12240.38
12/17/2009,12418.85
12/17/2009,12584.41
12/17/2009,12877.25
12/17/2009,13015.44
12/17/2009,13119.77
12/17/2009,13203.28
12/17/2009,13295.62
12/17/2009,13254.33
12/17/2009,13178.83
12/17/2009,13230.02
12/17/2009,13357.59
12/17/2009,13435
12/17/2009,13336.67
12/17/2009,13241.75
12/17/2009,12879.56
12/17/2009,12615.07
12/17/2009,12270.74
12/17/2009,12016.89
12/17/2009,11942.85
12/17/2009,11858.01
12/17/2009,11511.12
12/17/2009,11116.46
12/17/2009,10920.43
12/17/2009,10384.6
12/17/2009,9908.24
12/17/2009,9419.33
12/17/2009,8943.16
12/18/2009,8635.73
12/18/2009,8392.97
12/18/2009,8096.81
12/18/2009,7751.71
12/18/2009,7479.97
12/18/2009,7258.06
12/18/2009,7161.41
12/18/2009,7135.81
12/18/2009,7120.13
