date,seasonal
7/31/2009,564.4888136
8/1/2009,236.8831904
8/2/2009,409.6842084
8/3/2009,596.5084756
8/4/2009,919.7805899
8/5/2009,1064.720454
8/6/2009,1028.786657
8/7/2009,775.616306
8/8/2009,513.8860642
8/9/2009,527.1034286
8/10/2009,933.5246947
8/11/2009,1105.653844
8/12/2009,1034.534353
8/13/2009,843.8715947
8/14/2009,548.8205271
8/15/2009,25.82849115
8/16/2009,-91.35921598
8/17/2009,238.9554262
8/18/2009,840.6414575
8/19/2009,624.3611168
8/20/2009,519.4684441
8/21/2009,308.0778668
8/22/2009,136.1926454
8/23/2009,130.6872263
8/24/2009,138.1974608
8/25/2009,427.5153422
8/26/2009,491.6499616
8/27/2009,435.0813786
8/28/2009,240.0102311
8/29/2009,-163.1794569
8/30/2009,-281.2990418
8/31/2009,-112.5160509
9/1/2009,26.14734279
9/2/2009,161.3662946
9/3/2009,275.9329706
9/4/2009,-46.54128664
9/5/2009,-425.0498354
9/6/2009,-212.7082245
9/7/2009,-55.71158992
9/8/2009,206.4497216
9/9/2009,316.4133954
9/10/2009,211.5230948
9/11/2009,-104.2460416
9/12/2009,-615.9531757
9/13/2009,-845.7588137
9/14/2009,-526.4917683
9/15/2009,-215.7739993
9/16/2009,-179.485613
9/17/2009,-13.06204644
9/18/2009,-378.0543706
9/19/2009,-750.4933024
9/20/2009,-742.3365242
9/21/2009,-592.4129015
9/22/2009,-223.008878
9/23/2009,-223.3560982
9/24/2009,-297.1973529
9/25/2009,-551.1720151
9/26/2009,-871.8504413
9/27/2009,-858.4466934
9/28/2009,-678.933107
9/29/2009,-331.7504904
9/30/2009,-228.7633911
10/1/2009,-236.6596511
10/2/2009,-489.5408458
10/3/2009,-660.598729
10/4/2009,-1179.677528
10/5/2009,-1056.875246
10/6/2009,-734.5640177
10/7/2009,-352.3470139
10/8/2009,-313.7824873
10/9/2009,-497.5680052
10/10/2009,-852.2405237
10/11/2009,-906.2578565
10/12/2009,-687.0680531
10/13/2009,-326.6160528
10/14/2009,-310.0404082
10/15/2009,-393.2489519
10/16/2009,-602.1311476
10/17/2009,-889.2391045
10/18/2009,-950.9318829
10/19/2009,-607.6004833
10/20/2009,-353.3647755
10/21/2009,-294.960014
10/22/2009,-279.8386529
10/23/2009,-389.9206051
10/24/2009,-851.2835406
10/25/2009,-954.6347173
10/26/2009,-668.2751587
10/27/2009,-165.8301246
10/28/2009,-310.1956259
10/29/2009,-332.8578243
10/30/2009,-430.8556655
10/31/2009,-652.4470459
11/1/2009,-943.2539399
11/2/2009,250.7606102
11/3/2009,842.2342577
11/4/2009,-1.367859161
11/5/2009,-127.977053
11/6/2009,-268.9960909
11/7/2009,-936.997349
11/8/2009,-1080.800934
11/9/2009,37.73993146
11/10/2009,148.2428544
11/11/2009,233.1193915
11/12/2009,479.9284011
11/13/2009,-31.46977095
11/14/2009,-556.5920936
11/15/2009,-754.5326461
11/16/2009,898.9940796
11/17/2009,65.72109027
11/18/2009,141.1876393
11/19/2009,1050.888623
11/20/2009,1652.627934
11/21/2009,445.335471
11/22/2009,671.4857245
11/23/2009,49.06776126
11/24/2009,-129.9541307
11/25/2009,508.3755811
11/26/2009,783.6399554
11/27/2009,837.4704232
11/28/2009,239.0823781
11/29/2009,-644.8685856
11/30/2009,-173.8193596
12/1/2009,-367.6261736
12/2/2009,-308.0783386
12/3/2009,-30.74633046
12/4/2009,-89.31260602
12/5/2009,-773.7829043
12/6/2009,-813.217716
12/7/2009,1137.195837
12/8/2009,935.5402558
12/9/2009,160.2268065
12/10/2009,372.6111624
12/11/2009,36.12216441
12/12/2009,-549.5903121
12/13/2009,-566.1839067
12/14/2009,54.04854739
12/15/2009,320.8879736
12/16/2009,1074.126771
12/17/2009,1861.220301
12/18/2009,100.8037615
12/19/2009,-651.8125907
12/20/2009,-1132.542521
12/21/2009,166.7172477
12/22/2009,734.9661743
12/23/2009,834.7217574
