日期,归一化
2019/4/18,0.696554404
2019/4/19,0.674412183
2019/4/20,0.666813259
2019/4/21,0.632255029
2019/4/22,0.615032165
2019/4/23,0.683678166
2019/4/24,0.680262229
2019/4/25,0.686490688
2019/4/28,0.651451773
2019/4/29,0.649610849
2019/4/30,0.698333964
2019/5/1,0.710893155
2019/5/2,0.707947677
2019/5/3,0.693414607
2019/5/4,0.68319748
2019/5/5,0.639997136
2019/5/6,0.638463033
2019/5/7,0.692852102
2019/5/8,0.698456692
2019/5/9,0.717469344
2019/5/10,0.689916852
2019/5/11,0.664358694
2019/5/12,0.637153932
2019/5/13,0.64357671
2019/5/14,0.677541753
2019/5/15,0.686183867
2019/5/16,0.71612956
2019/5/17,0.745124109
2019/5/18,0.728279657
2019/5/19,0.708817002
2019/5/20,0.679812226
2019/5/21,0.719944363
2019/5/23,0.761467421
2019/5/25,0.761631058
2019/5/26,0.747445718
2019/5/27,0.706873805
2019/5/28,0.743682052
2019/5/29,0.781247124
2019/5/30,0.756220788
2019/5/31,0.763921986
2019/6/1,0.774241386
2019/6/2,0.732738783
2019/6/3,0.710412469
2019/6/5,0.801016599
2019/6/6,0.793489266
2019/6/7,0.818004234
2019/6/8,0.790533561
2019/6/9,0.758736717
2019/6/10,0.748703683
2019/6/11,0.734743345
2019/6/12,0.726172822
2019/6/13,0.708356771
2019/6/14,0.706434028
2019/6/15,0.738374055
2019/6/16,0.730570584
2019/6/17,0.721048917
2019/6/18,0.764515172
2019/6/19,0.812859875
2019/6/20,0.796107469
2019/6/21,0.793274492
2019/7/22,0.839921454
2019/7/23,0.794184726
2019/7/30,0.848461295
2019/7/31,0.823158821
2019/8/14,0.887857062
2019/8/22,0.863198912
2019/8/23,0.815948536
2019/8/24,0.762970842
2019/8/27,0.811018951
2019/8/28,0.793959725
2019/8/29,0.765578817
2019/8/30,0.81516103
2019/8/31,0.751904845
2019/9/1,0.752313939
2019/9/3,0.779825521
2019/9/4,0.846211277
2019/9/5,0.794665412
2019/9/6,0.808216656
2019/9/7,0.788590364
2019/9/8,0.752221893
2019/9/13,0.847929472
2019/9/14,0.782505088
2019/9/16,0.800024546
2019/9/22,0.786892623
2019/9/23,0.770508402
2019/9/24,0.749491189
2019/9/25,0.758624216
2019/9/26,0.75907422
2019/9/27,0.72892398
2019/9/28,0.760250366
2019/10/1,0.839768044
2019/10/2,0.826850895
2019/10/3,0.795933604
2019/10/4,0.736983135
2019/10/5,0.695439623
2019/10/6,0.677644027
2019/10/7,0.661883674
2019/10/8,0.667191671
2019/10/9,0.671272385
2019/10/10,0.688566841
2019/10/11,0.715607965
2019/10/12,0.670474652
2019/10/13,0.637716436
2019/10/14,0.642502838
2019/10/15,0.676478108
2019/10/16,0.684946358
2019/10/17,0.678963355
2019/10/18,0.674401955
2019/10/19,0.651554046
2019/10/20,0.63534369
2019/10/21,0.651738139
2019/10/22,0.666823486
2019/10/23,0.674156499
2019/10/24,0.669421234
